"SOURCE_ID","Shape_Leng","Shape_Area","S_BALTIMOR","S_BALTIM_1","S_BALTIM_2","S_BALTIM_3","S_REDLININ","S_C_INTRCP","S_SE_INTRC","S_T_INTRCP","S_SG_INTRC","S_C_BALTIM","S_SE_BALTI","S_T_BALTIM","S_SG_BALTI","S_C_BALT_1","S_SE_BAL_1","S_T_BALT_1","S_SG_BAL_1","S_C_BALT_2","S_SE_BAL_2","S_T_BALT_2","S_SG_BAL_2","S_C_REDLIN","S_SE_REDLI","S_T_REDLIN","S_SG_REDLI","S_PREDICT","PREDICTED","C_INTRCPT","C_BALTIMOR","C_BALTIM_1","C_BALTIM_2","C_REDLININ","S_RESIDUAL","S_STDRESID","INFLUENCE","COOKS_D","LOCALR2","CND_NUMBER"
38,0.0251201923719,2.93303570652e-05,-0.0880886672959,-1.15258561628,0.0968854246293,-0.290958893301,1.39366555075,-0.03746716705,0.0704717640146,-0.531662114238,0,0.405018420328,0.0958944615185,4.22358511549,1,0.29388364288,0.0653642196568,4.49609349615,1,1.12358895332,0.203119570575,5.53166270555,1,0.173106153798,0.0711317815845,2.43359789313,1,-0.561478646325,3.04157660328,-2443.99312082,0.00192168761224,14.6482687725,27.7636320101,1.03295092226,0.47338997903,0.607680204785,0.0576951500077,0.0009338273106,0.414082706664,2.01180431733
40,0.0176948180001,1.95282258453e-05,-0.728145772785,-1.00226036543,-0.153488294857,-0.290958893301,0.438835865462,-0.0381792026627,0.0693335668098,-0.550659722547,0,0.380579768761,0.0914570399486,4.16129549978,1,0.308389057716,0.0641302777971,4.80879029859,1,-0.202665912174,0.258225179998,-0.784841788765,0,0.178839669977,0.0698704740593,2.55958861571,1,-0.32950462053,4.4912849109,434.644178666,0.00180573374047,15.3712733368,-5.00782941126,1.0671636911,-0.398641152255,-0.507725045977,0.0427826355174,0.000475863783586,0.436002349123,1.7374968708
43,0.0302054871165,4.14114371845e-05,-0.0880886672959,-0.407792328007,-0.500754561968,-0.290958893301,-0.515993819829,-0.066665858593,0.0690499139091,-0.965473449841,0,0.310185405545,0.0878298586037,3.53166235807,1,0.297818126902,0.0663708757015,4.48718091715,1,0.015972732525,0.196234660476,0.0813960820491,0,0.210968954798,0.0730793889889,2.88684617807,1,-0.455796958348,3.70202822281,-39.4049257523,0.00147173417657,14.8443782901,0.39468265215,1.25888405262,0.367708291052,0.463394842688,0.0222947722361,0.000202239510998,0.433374420581,2.09728135304
45,0.0173377978253,1.61911284797e-05,-1.04817432553,-1.05996096677,-1.02640653434,-0.290958893301,1.39366555075,-0.0348750647542,0.0692034681457,-0.503949667389,0,0.403464805072,0.0912122723771,4.42336096402,1,0.310726673114,0.0640207237689,4.8535326504,1,-0.0657186444843,0.23867186298,-0.275351453932,0,0.175217603664,0.0696865090654,2.51436907967,1,-0.518147735093,3.31237063625,137.125025337,0.00191431618655,15.4877889016,-1.6238930227,1.04555026687,-0.530026590437,-0.683101076374,0.0651781365163,0.0013437285036,0.436920385779,1.79155064667
47,0.0230461317186,3.25130383441e-05,0.231939885449,-0.359202347937,-0.206273043969,-0.290958893301,1.39366555075,-0.0360168458706,0.0694461437452,-0.518629889699,0,0.379985050905,0.0911091240622,4.17065859009,1,0.31348253823,0.0642678290579,4.87775210126,1,-0.188066063713,0.279706630582,-0.672368986468,0,0.179146832484,0.0698940556271,2.56311972279,1,0.0672188969957,6.97058567406,402.921482106,0.00180291198749,15.6251516093,-4.64707041762,1.0689965768,0.164720988453,0.210395795087,0.048240430153,9.26673071691e-05,0.443541876308,1.62347166911
50,0.0215144576025,2.96955511839e-05,-0.0880886672959,-1.37199974503,1.9647736864,-0.290958893301,0.438835865462,-0.0492056354351,0.0693443795627,-0.709583613631,0,0.255762756805,0.0948277083243,2.69713105298,1,0.293345636826,0.064502850294,4.54779339965,1,0.0668865869597,0.228841122566,0.292283948837,0,0.190280740702,0.0709121314408,2.68333128388,1,0.240286481903,8.0521615736,-148.634192606,0.00121351547672,14.6214525223,1.65275262033,1.13543431174,-0.328375149199,-0.427249329395,0.0827636205766,0.000680282816283,0.421244312452,1.59990856302
55,0.0308402531717,3.68738148952e-05,0.231939885449,-0.262022387796,-0.549040638272,-0.290958893301,0.438835865462,-0.0457252474856,0.069228760826,-0.660494958164,0,0.272705537716,0.0925716361815,2.9458865476,1,0.293139552939,0.064462828702,4.54741994482,1,0.0696490094805,0.246849169121,0.282152092019,0,0.184699923657,0.0708466574473,2.60703793674,1,-0.217337778761,5.19226512537,-154.772121288,0.00129390375182,14.6111805245,1.72101146365,1.10213272201,0.44927766421,0.569319416157,0.0330118535434,0.000457013744733,0.413565631618,1.66867739984
57,0.023341025212,2.28893385954e-05,-1.04817432553,-0.887618381205,-1.15275556256,-0.290958893301,0.438835865462,-0.0322351248692,0.069267606871,-0.465370846855,0,0.40321663294,0.0896350419717,4.49842633049,1,0.315433404016,0.0640929628588,4.92149824172,1,-0.176026177345,0.291004626262,-0.604891336629,0,0.174725635371,0.069649853896,2.50862888574,1,-0.625862973803,2.6392104586,376.51654042,0.00191313868625,15.7223901153,-4.34956751536,1.04261461674,-0.422311351727,-0.542684288115,0.059682541735,0.000772032919028,0.443363688086,1.72455839837
65,0.0320734559207,4.07847161896e-05,0.0719256090764,-0.577857258255,-0.039476257213,-0.290958893301,-0.515993819829,-0.0427664265678,0.0702682846788,-0.608616344675,0,0.302847778278,0.0873039403657,3.46889014413,1,0.294917194831,0.0655745554708,4.49743338271,1,-0.0913032326451,0.296715730635,-0.307712814719,0,0.178229353959,0.071756655492,2.4838024116,1,-0.294811198062,4.70809945555,194.212210154,0.00143691939602,14.6997848985,-2.25608248018,1.06352184198,0.366736807138,0.466968976459,0.0422846981478,0.000397641201731,0.400968779825,1.53045991655
70,0.0216870622062,2.80503356318e-05,-0.0880886672959,-0.78664232887,0.254150847116,-0.290958893301,0.438835865462,-0.0457646722125,0.069821976132,-0.655447965637,0,0.330028016654,0.0897272382561,3.67812520555,1,0.303642507409,0.0646365764121,4.69768858847,1,-0.0742207598285,0.283871770563,-0.261458755414,0,0.187857938278,0.0705627140506,2.66228334335,1,-0.12417368828,5.77448874062,156.478889049,0.00156588125247,15.1346873739,-1.83397839335,1.12097707875,0.0360850209837,0.0459108862763,0.0407627048387,3.69944694575e-06,0.435487388877,1.63042663681
